CYCLE,STEP,TF,FEXT,TC,TW,WEXT,DW,THLOW,THHIGH,PPM,H2O,POWDENS,DEPMODE,DEPVAL,IDX
5,1,1000,10c,600,605,06c,-0.646,lwtr.16t,lwtr.17t,-9.5660E-04,-9.990434E-01,5.6264E-02,daytot,6,1
5,2,1000,10c,600,605,06c,-0.646,lwtr.16t,lwtr.17t,-8.7660E-04,-9.991234E-01,5.6264E-02,daytot,30,2
5,3,1000,10c,600,605,06c,-0.646,lwtr.16t,lwtr.17t,-7.8320E-04,-9.992168E-01,5.6264E-02,daytot,60,3
5,4,1000,10c,600,605,06c,-0.646,lwtr.16t,lwtr.17t,-6.8180E-04,-9.993182E-01,5.6264E-02,daytot,90,4
5,5,1000,10c,600,605,06c,-0.646,lwtr.16t,lwtr.17t,-5.8320E-04,-9.994168E-01,5.6264E-02,daytot,120,5
5,6,1000,10c,600,605,06c,-0.646,lwtr.16t,lwtr.17t,-4.8940E-04,-9.995106E-01,5.6264E-02,daytot,150,6
5,7,1000,10c,600,605,06c,-0.646,lwtr.16t,lwtr.17t,-4.0090E-04,-9.995991E-01,5.6264E-02,daytot,180,7
5,8,1000,10c,600,605,06c,-0.646,lwtr.16t,lwtr.17t,-3.0830E-04,-9.996917E-01,5.6264E-02,daytot,210,8
5,9,1000,10c,600,605,06c,-0.646,lwtr.16t,lwtr.17t,-2.0690E-04,-9.997931E-01,5.6264E-02,daytot,240,9
5,10,1000,10c,600,605,06c,-0.646,lwtr.16t,lwtr.17t,-9.9400E-05,-9.999006E-01,5.6264E-02,daytot,270,10
5,11,1000,10c,600,605,06c,-0.646,lwtr.16t,lwtr.17t,-1.0000E-05,-9.999900E-01,5.6264E-02,daytot,295.4,11
5,12,1000,10c,600,605,06c,-0.646,lwtr.16t,lwtr.17t,-1.0000E-05,-9.999900E-01,5.6264E-02,daytot,310,12
5,13,1000,10c,600,605,06c,-0.646,lwtr.16t,lwtr.17t,-1.0000E-05,-9.999900E-01,5.6264E-02,dectot,332,13
6,1,900,09c,600,600,06c,-0.665,lwtr.15t,lwtr.16t,-1.1759E-03,-9.988241E-01,4.7634E-02,daytot,338,14
6,2,900,09c,600,600,06c,-0.665,lwtr.15t,lwtr.16t,-1.0889E-03,-9.989111E-01,4.7634E-02,daytot,362,15
6,3,900,09c,600,600,06c,-0.665,lwtr.15t,lwtr.16t,-9.9880E-04,-9.990012E-01,4.7634E-02,daytot,392,16
6,4,900,09c,600,600,06c,-0.665,lwtr.15t,lwtr.16t,-8.9880E-04,-9.991012E-01,4.7634E-02,daytot,422,17
6,5,900,09c,600,600,06c,-0.665,lwtr.15t,lwtr.16t,-8.0020E-04,-9.991998E-01,4.7634E-02,daytot,452,18
6,6,900,09c,600,600,06c,-0.665,lwtr.15t,lwtr.16t,-7.0610E-04,-9.992939E-01,4.7634E-02,daytot,482,19
6,7,900,09c,600,600,06c,-0.665,lwtr.15t,lwtr.16t,-4.9000E-04,-9.995100E-01,4.7634E-02,daytot,512,20
6,8,900,09c,600,600,06c,-0.665,lwtr.15t,lwtr.16t,-5.2930E-04,-9.994707E-01,4.7634E-02,daytot,542,21
6,9,900,09c,600,600,06c,-0.665,lwtr.15t,lwtr.16t,-4.3200E-04,-9.995680E-01,4.7634E-02,daytot,572,22
6,10,900,09c,600,600,06c,-0.665,lwtr.15t,lwtr.16t,-3.2370E-04,-9.996763E-01,4.7634E-02,daytot,602,23
6,11,900,09c,600,600,06c,-0.665,lwtr.15t,lwtr.16t,-2.1240E-04,-9.997876E-01,4.7634E-02,daytot,632,24
6,12,900,09c,600,600,06c,-0.665,lwtr.15t,lwtr.16t,-1.0180E-04,-9.998982E-01,4.7634E-02,daytot,652,25
6,13,900,09c,600,600,06c,-0.665,lwtr.15t,lwtr.16t,-1.0000E-05,-9.999900E-01,4.7634E-02,daytot,687,26
6,14,900,09c,600,600,06c,-0.665,lwtr.15t,lwtr.16t,-1.0000E-05,-9.999900E-01,4.7634E-02,daytot,718.7,27
6,15,900,09c,600,600,06c,-0.665,lwtr.15t,lwtr.16t,-1.0000E-05,-9.999900E-01,4.7634E-02,dectot,735.7,28
